M,Torch,Triton,Paddle
256.0,0.0,0.0,0.0
384.0,0.0,0.0,0.0
512.0,0.0,0.0,0.0
640.0,0.1,0.1,0.1
768.0,0.1,0.1,0.1
896.0,0.2,0.2,0.2
1024.0,0.3,0.2,0.3
1152.0,0.4,0.3,0.4
1280.0,0.6,0.5,0.6
1408.0,0.8,0.6,0.8
1536.0,1.0,0.8,1.0
1664.0,1.4,1.0,1.4
1792.0,1.8,1.3,1.8
1920.0,2.2,1.7,2.3
2048.0,2.8,2.0,2.9
2176.0,3.5,2.5,3.5
2304.0,4.4,2.9,4.3
2432.0,5.3,3.5,5.4
2560.0,5.8,4.1,5.8
2688.0,7.4,4.8,7.5
2816.0,8.7,5.8,8.7
2944.0,9.8,6.6,10.2
3072.0,11.4,7.3,11.5
3200.0,12.8,8.6,12.9
3328.0,14.4,9.0,14.5
3456.0,16.4,10.1,16.2
3584.0,18.6,11.0,18.3
3712.0,20.6,12.5,20.7
3840.0,17.3,13.4,17.4
3968.0,19.7,15.1,18.8
4096.0,19.8,16.4,20.5
