M,Torch,Triton,Paddle
256.0,0.0,0.0,0.0
384.0,0.0,0.1,0.0
512.0,0.1,0.2,0.1
640.0,0.1,0.4,0.1
768.0,0.2,0.6,0.2
896.0,0.3,1.0,0.3
1024.0,0.5,1.3,0.5
1152.0,0.7,2.1,0.7
1280.0,0.9,2.7,0.9
1408.0,1.5,4.0,1.5
1536.0,1.8,4.8,1.8
1664.0,3.0,6.7,3.0
1792.0,3.3,7.7,3.3
1920.0,4.8,9.8,5.1
2048.0,5.0,11.3,4.9
2176.0,7.3,14.3,7.7
2304.0,8.3,17.3,8.7
2432.0,11.5,20.7,11.6
2560.0,10.3,22.1,10.2
2688.0,15.9,26.6,16.1
2816.0,18.0,29.1,17.7
2944.0,22.2,34.6,21.9
3072.0,23.2,39.0,22.8
3200.0,28.8,44.5,29.2
3328.0,30.1,48.1,29.0
3456.0,37.3,56.2,37.8
3584.0,37.5,61.6,38.0
3712.0,46.2,69.5,45.9
3840.0,46.4,73.6,46.7
3968.0,56.4,84.5,55.8
4096.0,52.2,88.5,53.7
