N,Triton,Torch,Paddle
256.0,0.0,0.0,0.0
384.0,0.1,0.1,0.1
512.0,0.1,0.1,0.1
640.0,0.1,0.1,0.1
768.0,0.1,0.1,0.1
896.0,0.1,0.1,0.1
1024.0,0.1,0.2,0.2
1152.0,0.2,0.2,0.2
1280.0,0.2,0.2,0.2
1408.0,0.2,0.2,0.2
1536.0,0.2,0.2,0.2
1664.0,0.2,0.3,0.2
1792.0,0.3,0.3,0.3
1920.0,0.3,0.3,0.3
2048.0,0.3,0.3,0.3
2176.0,0.3,0.3,0.3
2304.0,0.3,0.3,0.3
2432.0,0.3,0.4,0.3
2560.0,0.4,0.4,0.4
2688.0,0.4,0.5,0.4
2816.0,0.4,0.5,0.4
2944.0,0.4,0.5,0.4
3072.0,0.4,0.5,0.4
3200.0,0.5,0.6,0.5
3328.0,0.5,0.6,0.5
3456.0,0.5,0.5,0.5
3584.0,0.5,0.5,0.5
3712.0,0.5,0.6,0.5
3840.0,0.5,0.6,0.5
3968.0,0.6,0.6,0.6
4096.0,0.6,0.6,0.6
4224.0,0.6,0.6,0.6
4352.0,0.6,0.6,0.6
4480.0,0.6,0.6,0.6
4608.0,0.7,0.6,0.7
4736.0,0.7,0.7,0.7
4864.0,0.7,0.7,0.7
4992.0,0.7,0.7,0.7
5120.0,0.7,0.7,0.7
5248.0,0.7,0.8,0.8
5376.0,0.8,0.8,0.8
5504.0,0.8,0.8,0.8
5632.0,0.8,0.9,0.8
5760.0,0.8,0.9,0.8
5888.0,0.8,0.9,0.9
6016.0,0.9,1.0,0.9
6144.0,0.9,1.0,0.9
6272.0,0.9,1.1,0.9
6400.0,0.9,1.1,0.9
6528.0,0.9,1.1,0.9
6656.0,0.9,1.2,1.0
6784.0,1.0,1.2,1.0
6912.0,1.0,1.3,1.0
7040.0,1.0,1.3,1.0
7168.0,1.0,1.4,1.0
7296.0,1.0,1.4,1.1
7424.0,1.1,1.4,1.1
7552.0,1.1,1.5,1.1
7680.0,1.1,1.5,1.1
7808.0,1.1,1.6,1.1
7936.0,1.1,1.6,1.2
8064.0,1.1,1.6,1.2
8192.0,1.2,1.7,1.2
8320.0,1.2,1.7,1.2
8448.0,1.2,1.8,1.2
8576.0,1.2,1.8,1.2
8704.0,1.2,1.9,1.3
8832.0,1.3,1.9,1.3
8960.0,1.3,2.0,1.3
9088.0,1.3,2.0,1.3
9216.0,1.3,2.1,1.3
9344.0,1.3,2.1,1.4
9472.0,1.4,2.1,1.4
9600.0,1.4,2.2,1.6
9728.0,1.4,2.2,1.4
9856.0,1.4,2.2,1.4
9984.0,1.4,2.3,1.5
10112.0,1.4,2.3,1.5
10240.0,1.5,2.4,1.5
10368.0,1.5,2.4,1.5
10496.0,1.5,2.5,1.5
10624.0,1.5,2.5,1.5
10752.0,1.5,2.6,1.6
10880.0,1.6,2.6,1.6
11008.0,1.6,2.6,1.6
11136.0,1.6,2.7,1.6
11264.0,1.6,2.7,1.6
11392.0,1.6,2.7,1.7
11520.0,1.6,2.8,1.7
11648.0,1.7,2.8,1.7
11776.0,1.7,2.9,1.7
11904.0,1.7,2.9,1.7
12032.0,1.7,2.9,1.7
12160.0,1.7,3.0,1.8
12288.0,1.8,3.0,1.8
12416.0,1.8,3.0,1.8
12544.0,1.8,3.1,1.8
12672.0,1.8,3.1,1.8
