N,Triton,Torch,Paddle
256.0,0.3,0.0,0.2
384.0,0.4,0.0,0.2
512.0,0.6,0.0,0.3
640.0,0.7,0.0,0.4
768.0,0.9,0.0,0.5
896.0,1.1,0.0,0.6
1024.0,1.2,0.0,0.6
1152.0,1.4,0.0,0.7
1280.0,1.6,0.0,0.8
1408.0,1.7,0.0,0.9
1536.0,1.9,0.0,1.0
1664.0,2.1,0.0,1.1
1792.0,2.3,0.0,1.1
1920.0,2.4,0.0,1.2
2048.0,2.6,0.0,1.3
2176.0,2.9,0.0,1.4
2304.0,3.0,0.0,1.5
2432.0,3.2,0.0,1.6
2560.0,3.4,0.0,1.7
2688.0,3.5,0.0,1.7
2816.0,3.8,0.0,1.8
2944.0,4.0,0.0,1.9
3072.0,4.1,0.0,2.0
3200.0,4.3,0.0,2.1
3328.0,4.5,0.0,2.2
3456.0,4.7,0.0,2.3
3584.0,4.9,0.0,2.4
3712.0,5.2,0.0,2.5
3840.0,5.5,0.0,2.6
3968.0,5.8,0.0,2.6
4096.0,6.0,0.0,2.7
4224.0,6.1,0.0,2.8
4352.0,6.7,0.0,2.9
4480.0,7.0,0.0,3.0
4608.0,7.1,0.0,3.1
4736.0,7.2,0.0,3.2
4864.0,7.4,0.0,3.3
4992.0,7.8,0.0,3.8
5120.0,8.1,0.0,3.4
5248.0,8.1,0.0,3.6
5376.0,8.6,0.0,3.6
5504.0,8.8,0.0,3.7
5632.0,9.3,0.0,3.8
5760.0,9.7,0.0,3.9
5888.0,9.8,0.0,4.0
6016.0,11.1,0.0,4.1
6144.0,11.5,0.0,4.2
6272.0,10.3,0.0,4.3
